_id,timestamp,temperature,humidity,fan
669c7cd4f6b8fd8471bcbf05,21/07/2024 10:13:24,24.5,62.0,1
669c7e00f6b8fd8471bcbf06,21/07/2024 10:18:24,24.1,61.0,1
669c7f2cf6b8fd8471bcbf07,21/07/2024 10:23:24,23.8,59.0,1
669c8058f6b8fd8471bcbf08,21/07/2024 10:28:24,23.8,57.0,1
669c8185f6b8fd8471bcbf09,21/07/2024 10:33:25,23.4,56.0,1
669c82b1f6b8fd8471bcbf0a,21/07/2024 10:38:25,23.4,55.0,1
669c83ddf6b8fd8471bcbf0b,21/07/2024 10:43:25,23.4,54.0,1
669c850af6b8fd8471bcbf0c,21/07/2024 10:48:25,23.0,54.0,1
669c8636f6b8fd8471bcbf0d,21/07/2024 10:53:26,23.0,53.0,1
669c8762f6b8fd8471bcbf0e,21/07/2024 10:58:26,23.0,53.0,1
669c888ef6b8fd8471bcbf0f,21/07/2024 11:03:26,22.7,53.0,1
669c89baf6b8fd8471bcbf10,21/07/2024 11:08:26,23.0,52.0,1
669c8ae7f6b8fd8471bcbf11,21/07/2024 11:13:27,22.6,52.0,1
669c8c13f6b8fd8471bcbf12,21/07/2024 11:18:27,22.6,52.0,1
669c8d3ff6b8fd8471bcbf13,21/07/2024 11:23:27,22.6,51.0,1
669c8e6bf6b8fd8471bcbf14,21/07/2024 11:28:27,22.6,51.0,1
669c8f97f6b8fd8471bcbf15,21/07/2024 11:33:27,22.6,51.0,1
669c90c4f6b8fd8471bcbf16,21/07/2024 11:38:27,22.6,50.0,1
669c91f0f6b8fd8471bcbf17,21/07/2024 11:43:28,22.2,50.0,1
669c9321f6b8fd8471bcbf18,21/07/2024 11:48:33,23.0,54.0,1
669c944df6b8fd8471bcbf19,21/07/2024 11:53:33,22.6,54.0,1
669c9579f6b8fd8471bcbf1a,21/07/2024 11:58:33,22.6,54.0,1
669c96a6f6b8fd8471bcbf1b,21/07/2024 12:03:34,22.6,53.0,1
669c97d2f6b8fd8471bcbf1c,21/07/2024 12:08:34,22.2,51.0,1
669c98fef6b8fd8471bcbf1d,21/07/2024 12:13:34,23.0,54.0,1
669c9a2bf6b8fd8471bcbf1e,21/07/2024 12:18:34,22.6,54.0,1
669c9b57f6b8fd8471bcbf1f,21/07/2024 12:23:35,22.6,53.0,1
669c9c83f6b8fd8471bcbf20,21/07/2024 12:28:35,22.2,51.0,1
669c9daff6b8fd8471bcbf21,21/07/2024 12:33:35,22.2,50.0,1
669c9edbf6b8fd8471bcbf22,21/07/2024 12:38:35,22.6,53.0,1
669ca008f6b8fd8471bcbf23,21/07/2024 12:43:36,23.0,56.0,1
669ca134f6b8fd8471bcbf24,21/07/2024 12:48:36,22.6,54.0,1
669ca260f6b8fd8471bcbf25,21/07/2024 12:53:36,22.2,52.0,1
